id_Customer,Tipe_Customer,Region,Luas_Bangunan_m2,Jumlah_Penghuni,Biaya_Listrik
CUSTOMER_0063,commercial,Midwest,45,3,97.28
CUSTOMER_0064,residential,Northeast,24,1,79.03
CUSTOMER_0065,residential,Midwest,17,3,72.28
CUSTOMER_0066,residential,North,45,2,55.43
CUSTOMER_0067,residential,Midwest,45,4,124.73
CUSTOMER_0068,commercial,Northeast,45,1,98.88
CUSTOMER_0069,residential,South,45,4,105.01
CUSTOMER_0070,commercial,North,52,3,76.87
CUSTOMER_0071,commercial,Midwest,77,1,100.31
CUSTOMER_0072,residential,Midwest,52,1,72.78
CUSTOMER_0073,residential,Midwest,45,3,74.49
CUSTOMER_0074,commercial,North,24,3,82.21
CUSTOMER_0075,commercial,South,77,2,76.27
CUSTOMER_0076,commercial,Midwest,24,3,61.16
CUSTOMER_0077,commercial,Midwest,24,3,53.45
CUSTOMER_0078,residential,Northeast,45,3,83.81
CUSTOMER_0079,residential,Midwest,17,1,99.78
CUSTOMER_0080,residential,Midwest,77,2,57.96
CUSTOMER_0081,commercial,North,45,1,63.33
CUSTOMER_0082,residential,North,45,3,71.51
CUSTOMER_0083,residential,Southeast,45,2,94.03
CUSTOMER_0084,residential,Northeast,45,3,66.33
CUSTOMER_0085,residential,Northeast,17,1,97.79
CUSTOMER_0086,residential,Midwest,45,1,55.32
CUSTOMER_0087,commercial,Midwest,45,3,100.82
CUSTOMER_0088,residential,North,45,2,81.29
CUSTOMER_0089,commercial,Midwest,45,1,86.33
CUSTOMER_0090,residential,North,24,3,71.38
CUSTOMER_0091,residential,North,24,3,92.66
CUSTOMER_0092,commercial,North,24,3,61.05
CUSTOMER_0093,commercial,Southeast,24,2,55.01
CUSTOMER_0094,residential,North,52,3,72.81
CUSTOMER_0095,commercial,North,52,4,150.65
CUSTOMER_0096,residential,Midwest,24,3,91.27
CUSTOMER_0097,residential,Southeast,45,4,132.21
CUSTOMER_0098,residential,Northeast,45,1,81.88
CUSTOMER_0099,residential,Midwest,24,3,59.17
CUSTOMER_0100,residential,North,24,2,95.67
CUSTOMER_0101,residential,Midwest,77,3,92.91
CUSTOMER_0102,residential,Midwest,45,4,139.84
CUSTOMER_0103,residential,Midwest,77,4,129.41
CUSTOMER_0104,residential,Northeast,24,2,102.02
CUSTOMER_0105,commercial,Northeast,45,4,152.04
CUSTOMER_0106,residential,North,24,3,85.59
CUSTOMER_0107,residential,Northeast,24,3,71.59
CUSTOMER_0108,commercial,North,45,3,84.24
CUSTOMER_0109,residential,Midwest,24,2,82.05
CUSTOMER_0110,residential,South,24,1,72.74
CUSTOMER_0111,residential,South,24,2,68.25
CUSTOMER_0112,residential,Southeast,17,1,73.4
CUSTOMER_0113,commercial,Midwest,45,2,81.97
CUSTOMER_0114,commercial,Midwest,45,3,74.48
CUSTOMER_0115,residential,Northeast,17,3,66.03
CUSTOMER_0116,commercial,Midwest,24,1,91.58
CUSTOMER_0117,commercial,Midwest,17,1,79.79
CUSTOMER_0118,residential,Midwest,45,4,107.57
CUSTOMER_0119,commercial,Midwest,17,2,71.41
CUSTOMER_0120,residential,Northeast,45,4,152.36
CUSTOMER_0121,commercial,Northeast,17,2,91.28
CUSTOMER_0122,commercial,South,24,1,69.1
CUSTOMER_0123,residential,North,52,1,100.68
CUSTOMER_0124,residential,Midwest,45,2,56.43
CUSTOMER_0125,residential,South,17,1,101.86
CUSTOMER_0126,residential,Midwest,52,1,65.12
CUSTOMER_0127,commercial,Midwest,45,1,52.97
CUSTOMER_0128,commercial,Northeast,52,1,74.78
CUSTOMER_0129,residential,Northeast,45,3,70.93
CUSTOMER_0130,residential,Southeast,45,4,133.41
CUSTOMER_0131,residential,Midwest,77,4,147.53
CUSTOMER_0132,residential,Midwest,24,3,95.76
CUSTOMER_0133,residential,North,45,1,73.1
CUSTOMER_0134,residential,North,45,4,127.42
CUSTOMER_0135,commercial,South,17,2,60.11
CUSTOMER_0136,residential,Northeast,17,3,54.94
CUSTOMER_0137,residential,Midwest,17,2,85.43
CUSTOMER_0138,commercial,North,45,2,55.81
CUSTOMER_0139,residential,Midwest,45,3,90.18
CUSTOMER_0140,commercial,South,45,4,133.41
CUSTOMER_0141,commercial,Midwest,17,2,62.7
CUSTOMER_0142,residential,North,45,4,133.43
CUSTOMER_0143,residential,Midwest,77,2,61.9
CUSTOMER_0144,residential,Midwest,24,1,75.03
CUSTOMER_0145,residential,Midwest,45,1,93.56
CUSTOMER_0146,residential,Southeast,45,1,76.22
CUSTOMER_0147,residential,Midwest,45,3,60.14
CUSTOMER_0148,residential,Southeast,45,1,89.67
CUSTOMER_0149,residential,Midwest,52,2,62.09
CUSTOMER_0150,residential,North,24,2,90.42
CUSTOMER_0151,commercial,Northeast,52,4,130.13
CUSTOMER_0152,residential,Northeast,24,2,75.8
CUSTOMER_0153,residential,South,24,2,96.22
CUSTOMER_0154,residential,Midwest,17,2,88.89
CUSTOMER_0155,commercial,Midwest,45,3,54.19
CUSTOMER_0156,residential,Northeast,45,2,67.71
CUSTOMER_0157,commercial,Northeast,24,3,97.22
CUSTOMER_0158,commercial,Midwest,24,2,53.44
CUSTOMER_0159,residential,Midwest,77,4,133.75
CUSTOMER_0160,commercial,Northeast,52,3,89.87
CUSTOMER_0161,residential,Midwest,45,3,84.43
CUSTOMER_0162,residential,North,45,2,91.55
CUSTOMER_0163,residential,Northeast,45,2,89.76
CUSTOMER_0164,residential,Midwest,24,2,88.04
CUSTOMER_0165,residential,North,77,2,94.69
CUSTOMER_0166,commercial,South,17,1,85.66
CUSTOMER_0167,residential,Northeast,45,1,73.16
CUSTOMER_0168,residential,North,24,3,76.73
CUSTOMER_0169,residential,Northeast,45,3,89.3
CUSTOMER_0170,residential,Midwest,45,4,151.89
CUSTOMER_0171,commercial,Midwest,45,4,118.78
CUSTOMER_0172,residential,Midwest,17,1,70.07
CUSTOMER_0173,residential,North,45,4,154.87
CUSTOMER_0174,residential,North,24,3,82.21
CUSTOMER_0175,residential,Midwest,24,2,61.69
CUSTOMER_0176,residential,Southeast,17,3,86.58
CUSTOMER_0177,commercial,Southeast,45,3,103.38
CUSTOMER_0178,residential,North,45,3,94.78
CUSTOMER_0179,commercial,Midwest,45,1,90.79
CUSTOMER_0180,residential,South,45,1,63.18
CUSTOMER_0181,residential,Northeast,45,3,97.49
CUSTOMER_0182,residential,Southeast,45,2,79.5
CUSTOMER_0183,commercial,North,24,3,98.17
CUSTOMER_0184,commercial,South,24,1,69.44
CUSTOMER_0185,residential,Midwest,45,2,55.69
CUSTOMER_0186,commercial,South,45,3,76.94
CUSTOMER_0187,commercial,Midwest,52,1,66.36
CUSTOMER_0188,residential,Northeast,52,2,89.23
CUSTOMER_0189,residential,South,24,3,101.65
CUSTOMER_0190,residential,Northeast,17,1,87.98
CUSTOMER_0191,residential,Northeast,45,2,98.04
CUSTOMER_0192,commercial,Midwest,24,3,75.76
CUSTOMER_0193,commercial,Midwest,17,2,92.12
CUSTOMER_0194,residential,South,52,2,95.79
CUSTOMER_0195,residential,Northeast,24,2,89.0
CUSTOMER_0196,residential,Midwest,77,1,78.57
CUSTOMER_0197,commercial,Midwest,45,3,84.64
CUSTOMER_0198,commercial,North,45,4,142.25
CUSTOMER_0199,commercial,Northeast,24,2,65.5
CUSTOMER_0200,commercial,Northeast,24,2,94.07
CUSTOMER_0201,residential,Northeast,45,2,101.3
CUSTOMER_0202,residential,South,24,1,76.39
CUSTOMER_0203,residential,Midwest,24,2,88.5
CUSTOMER_0204,commercial,Midwest,24,1,90.35
CUSTOMER_0205,residential,South,24,1,86.51
CUSTOMER_0206,residential,Northeast,24,2,80.59
CUSTOMER_0207,residential,Southeast,45,2,97.77
CUSTOMER_0208,commercial,Midwest,24,1,75.55
CUSTOMER_0209,residential,Southeast,17,1,55.64
CUSTOMER_0210,residential,Northeast,45,2,95.87
CUSTOMER_0211,residential,South,77,1,87.11
CUSTOMER_0212,commercial,Northeast,24,1,96.11
CUSTOMER_0213,commercial,Northeast,17,2,59.61
CUSTOMER_0214,residential,Midwest,45,2,54.08
CUSTOMER_0215,commercial,Northeast,77,3,100.48
CUSTOMER_0216,residential,Midwest,45,4,111.96
CUSTOMER_0217,residential,Midwest,45,2,94.08
CUSTOMER_0218,commercial,Midwest,24,2,94.77
CUSTOMER_0219,residential,Northeast,45,2,88.89
CUSTOMER_0220,commercial,North,17,3,59.24
CUSTOMER_0221,commercial,Northeast,45,1,86.77
CUSTOMER_0222,residential,Midwest,45,4,152.59
CUSTOMER_0223,residential,Northeast,77,2,74.35
CUSTOMER_0224,residential,Northeast,24,2,73.73
CUSTOMER_0225,residential,Northeast,17,3,75.24
CUSTOMER_0226,residential,North,45,3,56.72
CUSTOMER_0227,commercial,Midwest,45,3,98.31
CUSTOMER_0228,residential,Southeast,45,1,97.13
CUSTOMER_0229,commercial,Northeast,24,3,103.74
CUSTOMER_0230,residential,Midwest,24,1,82.55
CUSTOMER_0231,commercial,Midwest,45,4,145.03
CUSTOMER_0232,residential,Midwest,24,2,62.91
CUSTOMER_0233,residential,Midwest,52,2,86.78
CUSTOMER_0234,residential,Midwest,45,2,85.86
CUSTOMER_0235,residential,Midwest,45,4,153.26
CUSTOMER_0236,commercial,North,45,3,95.16
CUSTOMER_0237,residential,Midwest,45,2,100.69
CUSTOMER_0238,residential,Midwest,24,3,97.11
CUSTOMER_0239,residential,North,52,1,97.11
CUSTOMER_0240,residential,Northeast,24,2,55.77
CUSTOMER_0241,commercial,South,45,1,95.94
CUSTOMER_0242,commercial,Midwest,24,3,83.69
CUSTOMER_0243,commercial,Midwest,45,4,124.71
CUSTOMER_0244,residential,South,24,3,55.4
CUSTOMER_0245,residential,Midwest,24,2,87.3
CUSTOMER_0246,commercial,Midwest,77,2,69.35
CUSTOMER_0247,residential,Midwest,24,3,76.52
CUSTOMER_0248,commercial,Southeast,45,2,87.51
CUSTOMER_0249,commercial,Midwest,77,2,99.32
CUSTOMER_0250,commercial,Midwest,17,1,94.89
CUSTOMER_0251,residential,Northeast,45,4,128.56
CUSTOMER_0252,residential,South,24,3,72.41
CUSTOMER_0253,commercial,Midwest,17,1,64.81
CUSTOMER_0254,residential,North,45,2,71.62
CUSTOMER_0255,residential,Southeast,77,1,58.2
CUSTOMER_0256,residential,Midwest,17,3,102.37
CUSTOMER_0257,commercial,North,45,4,135.32
CUSTOMER_0258,commercial,Midwest,45,4,110.87
CUSTOMER_0259,residential,Midwest,52,1,70.62
CUSTOMER_0260,residential,Southeast,17,1,80.59
CUSTOMER_0261,residential,Northeast,45,4,133.07
CUSTOMER_0262,commercial,Southeast,45,2,54.32
CUSTOMER_0263,residential,Midwest,45,3,101.33
CUSTOMER_0264,residential,North,77,2,66.64
CUSTOMER_0265,commercial,South,52,2,53.33
CUSTOMER_0266,commercial,Midwest,17,3,56.43
CUSTOMER_0267,commercial,Northeast,45,1,82.29
CUSTOMER_0268,commercial,Midwest,24,2,59.58
CUSTOMER_0269,residential,Southeast,24,1,54.64
CUSTOMER_0270,residential,Northeast,45,3,71.99
CUSTOMER_0271,commercial,Northeast,24,2,84.48
CUSTOMER_0272,commercial,North,45,1,58.24
CUSTOMER_0273,commercial,Northeast,77,1,68.59
CUSTOMER_0274,commercial,Midwest,17,2,73.95
CUSTOMER_0275,residential,Midwest,77,3,60.69
CUSTOMER_0276,residential,Northeast,45,4,131.6
CUSTOMER_0277,commercial,Northeast,45,1,56.88
CUSTOMER_0278,residential,Northeast,52,3,54.89
CUSTOMER_0279,commercial,South,24,2,79.19
CUSTOMER_0280,commercial,Northeast,45,1,65.23
CUSTOMER_0281,commercial,South,45,1,57.4
CUSTOMER_0282,residential,Midwest,24,1,74.27
CUSTOMER_0283,residential,Northeast,77,3,99.49
CUSTOMER_0284,residential,Southeast,52,1,89.69
CUSTOMER_0285,residential,Midwest,17,1,94.38
CUSTOMER_0286,residential,Midwest,17,2,97.27
CUSTOMER_0287,residential,South,45,1,102.44
CUSTOMER_0288,residential,North,17,3,91.69
CUSTOMER_0289,residential,North,45,2,83.74
CUSTOMER_0290,residential,Midwest,17,2,71.26
CUSTOMER_0291,residential,Northeast,45,1,61.83
CUSTOMER_0292,residential,Northeast,17,2,87.76
CUSTOMER_0293,commercial,North,24,1,103.59
CUSTOMER_0294,residential,North,45,2,76.5
CUSTOMER_0295,residential,Midwest,45,3,89.66
CUSTOMER_0296,residential,North,77,1,77.92
CUSTOMER_0297,commercial,Midwest,52,3,74.68
CUSTOMER_0298,residential,Midwest,24,1,73.57
CUSTOMER_0299,residential,Midwest,17,3,78.41
CUSTOMER_0300,residential,North,52,4,123.97
CUSTOMER_0301,residential,Midwest,77,3,90.95
CUSTOMER_0302,residential,North,52,2,97.39
CUSTOMER_0303,residential,Midwest,17,1,97.84
CUSTOMER_0304,residential,Southeast,77,2,64.19
CUSTOMER_0305,commercial,Midwest,24,3,98.5
CUSTOMER_0306,commercial,Midwest,45,1,70.04
CUSTOMER_0307,residential,Midwest,77,3,68.38
CUSTOMER_0308,residential,Northeast,24,3,89.82
CUSTOMER_0309,commercial,Southeast,77,3,68.15
CUSTOMER_0310,residential,Southeast,24,3,55.22
CUSTOMER_0311,residential,Northeast,77,2,71.69
CUSTOMER_0312,residential,Midwest,24,3,89.55
CUSTOMER_0313,residential,South,77,2,69.29
CUSTOMER_0314,commercial,South,17,3,84.83
CUSTOMER_0315,commercial,Midwest,45,4,140.04
CUSTOMER_0316,commercial,Midwest,45,1,90.18
CUSTOMER_0317,residential,Northeast,45,3,98.57
CUSTOMER_0318,residential,South,24,3,74.71
CUSTOMER_0319,residential,North,45,4,112.98
CUSTOMER_0320,residential,Midwest,24,1,68.88
CUSTOMER_0321,residential,Northeast,45,1,74.69
CUSTOMER_0322,commercial,Northeast,24,3,89.16
CUSTOMER_0323,commercial,Midwest,77,3,53.17
CUSTOMER_0324,residential,South,17,2,68.72
CUSTOMER_0325,commercial,North,24,1,92.54
CUSTOMER_0326,commercial,Midwest,24,1,86.95
CUSTOMER_0327,residential,North,45,2,90.07
CUSTOMER_0328,residential,Northeast,24,3,94.19
CUSTOMER_0329,residential,Midwest,45,3,92.72
CUSTOMER_0330,residential,Midwest,52,1,87.53
CUSTOMER_0331,residential,Northeast,45,2,75.08
CUSTOMER_0332,commercial,Northeast,45,3,103.01
CUSTOMER_0333,residential,North,17,1,81.72
CUSTOMER_0334,residential,Northeast,45,3,62.91
CUSTOMER_0335,residential,South,24,3,67.54
CUSTOMER_0336,residential,South,45,3,88.11
CUSTOMER_0337,commercial,Northeast,24,1,99.99
CUSTOMER_0338,commercial,Midwest,45,2,61.68
CUSTOMER_0339,residential,South,24,2,56.73
CUSTOMER_0340,residential,North,52,3,97.77
CUSTOMER_0341,residential,Southeast,17,2,99.5
CUSTOMER_0342,residential,South,45,3,66.69
CUSTOMER_0343,residential,North,17,1,71.87
CUSTOMER_0344,residential,Northeast,45,1,86.4
CUSTOMER_0345,residential,South,77,1,69.44
CUSTOMER_0346,residential,Midwest,45,3,97.54
CUSTOMER_0347,residential,North,45,2,58.02
CUSTOMER_0348,residential,Northeast,77,4,105.94
CUSTOMER_0349,residential,Midwest,45,4,115.29
CUSTOMER_0350,residential,Midwest,45,1,67.19
CUSTOMER_0351,residential,Midwest,45,4,110.05
CUSTOMER_0352,commercial,South,45,3,55.87
CUSTOMER_0353,commercial,Northeast,17,2,91.3
CUSTOMER_0354,residential,Midwest,52,4,112.86
CUSTOMER_0355,residential,Midwest,45,4,153.95
CUSTOMER_0356,residential,Midwest,17,2,71.4
CUSTOMER_0357,residential,Northeast,45,4,140.62
CUSTOMER_0358,residential,South,24,2,64.07
CUSTOMER_0359,commercial,Southeast,17,3,64.84
CUSTOMER_0360,residential,Midwest,45,3,82.01
CUSTOMER_0361,residential,Midwest,52,3,81.29
CUSTOMER_0362,residential,Northeast,52,1,91.97
CUSTOMER_0363,residential,Midwest,77,3,91.41
CUSTOMER_0364,residential,Midwest,52,4,140.62
CUSTOMER_0365,commercial,Midwest,17,1,75.56
CUSTOMER_0366,residential,South,24,1,98.23
CUSTOMER_0367,commercial,Midwest,52,1,84.47
CUSTOMER_0368,commercial,Northeast,24,3,103.35
CUSTOMER_0369,residential,Midwest,45,1,94.57
CUSTOMER_0370,residential,Northeast,45,3,54.78
CUSTOMER_0371,residential,Northeast,24,3,68.96
CUSTOMER_0372,residential,Northeast,77,1,81.87
CUSTOMER_0373,residential,Midwest,45,1,89.55
CUSTOMER_0374,commercial,Midwest,45,4,134.02
CUSTOMER_0375,residential,Midwest,77,1,92.87
CUSTOMER_0376,residential,Midwest,45,3,67.01
CUSTOMER_0377,commercial,Midwest,24,3,61.94
CUSTOMER_0378,residential,Northeast,45,1,55.27
CUSTOMER_0379,commercial,Southeast,52,1,81.94
CUSTOMER_0380,residential,Northeast,45,2,87.86
CUSTOMER_0381,residential,Northeast,45,1,69.25
CUSTOMER_0382,commercial,Midwest,45,2,84.01
CUSTOMER_0383,residential,Northeast,24,2,55.18
CUSTOMER_0384,commercial,North,52,3,57.6
CUSTOMER_0385,commercial,Midwest,52,3,88.54
CUSTOMER_0386,commercial,Midwest,24,2,71.4
CUSTOMER_0387,residential,Midwest,17,2,86.97
CUSTOMER_0388,residential,South,77,4,149.45
CUSTOMER_0389,commercial,Midwest,52,1,96.28
CUSTOMER_0390,commercial,Southeast,52,4,113.3
CUSTOMER_0391,commercial,North,52,2,77.47
CUSTOMER_0392,residential,Midwest,45,1,90.19
CUSTOMER_0393,residential,Southeast,45,3,92.24
CUSTOMER_0394,commercial,Midwest,45,1,92.79
CUSTOMER_0395,residential,Midwest,17,3,64.22
CUSTOMER_0396,commercial,Northeast,45,2,62.39
CUSTOMER_0397,commercial,North,45,4,136.2
CUSTOMER_0398,residential,Midwest,45,4,144.48
CUSTOMER_0399,commercial,Northeast,45,4,121.35
CUSTOMER_0400,commercial,Southeast,45,4,109.6
CUSTOMER_0401,residential,Northeast,24,2,89.3
CUSTOMER_0402,commercial,South,24,2,67.89
CUSTOMER_0403,residential,South,24,1,61.04
CUSTOMER_0404,commercial,Northeast,24,3,60.09
CUSTOMER_0405,residential,Northeast,77,3,68.67
CUSTOMER_0406,commercial,Southeast,24,3,82.93
CUSTOMER_0407,residential,South,24,3,70.9
CUSTOMER_0408,residential,Midwest,45,4,104.99
CUSTOMER_0409,commercial,Northeast,45,3,57.48
CUSTOMER_0410,residential,Midwest,24,1,67.42
CUSTOMER_0411,residential,Midwest,45,4,140.02
CUSTOMER_0412,commercial,Northeast,45,3,57.56
CUSTOMER_0413,commercial,Midwest,24,2,81.29
CUSTOMER_0414,residential,North,24,3,58.66
CUSTOMER_0415,residential,North,77,2,63.37
CUSTOMER_0416,residential,Northeast,52,1,61.34
CUSTOMER_0417,residential,Northeast,45,1,55.95
CUSTOMER_0418,residential,Northeast,17,2,86.97
CUSTOMER_0419,commercial,Midwest,45,3,76.3
CUSTOMER_0420,commercial,Northeast,45,4,149.41
CUSTOMER_0421,commercial,Northeast,24,1,57.58
CUSTOMER_0422,commercial,Northeast,45,1,59.93
CUSTOMER_0423,residential,South,45,1,68.24
CUSTOMER_0424,residential,Midwest,24,3,91.83
CUSTOMER_0425,residential,Midwest,45,2,68.2
CUSTOMER_0426,residential,Midwest,52,2,73.47
CUSTOMER_0427,residential,South,24,3,67.99
CUSTOMER_0428,commercial,Northeast,52,1,56.62
CUSTOMER_0429,residential,Midwest,17,3,100.74
CUSTOMER_0430,residential,Midwest,52,3,80.67
CUSTOMER_0431,residential,Midwest,24,2,92.96
CUSTOMER_0432,commercial,North,17,3,86.31
CUSTOMER_0433,residential,Midwest,45,3,78.91
CUSTOMER_0434,residential,North,45,1,57.1
CUSTOMER_0435,residential,Midwest,77,4,139.09
CUSTOMER_0436,commercial,Midwest,24,1,60.48
CUSTOMER_0437,residential,Northeast,24,2,73.78
CUSTOMER_0438,commercial,Southeast,45,4,138.34
CUSTOMER_0439,commercial,North,45,1,92.67
CUSTOMER_0440,residential,Southeast,24,3,87.68
CUSTOMER_0441,residential,Midwest,45,3,86.98
CUSTOMER_0442,commercial,Northeast,45,4,112.03
CUSTOMER_0443,residential,North,52,4,122.83
CUSTOMER_0444,residential,South,77,3,54.7
CUSTOMER_0445,commercial,North,24,2,89.45
CUSTOMER_0446,commercial,Northeast,45,1,101.42
CUSTOMER_0447,commercial,Northeast,24,3,66.06
CUSTOMER_0448,commercial,Midwest,45,1,57.0
CUSTOMER_0449,residential,Midwest,45,1,76.92
CUSTOMER_0450,residential,North,77,1,96.49
CUSTOMER_0451,commercial,Northeast,45,1,80.84
CUSTOMER_0452,residential,Northeast,77,2,54.9
CUSTOMER_0453,residential,Northeast,52,2,102.53
CUSTOMER_0454,commercial,Midwest,77,2,95.05
CUSTOMER_0455,residential,Midwest,52,3,59.26
CUSTOMER_0456,residential,Northeast,45,3,99.83
CUSTOMER_0457,residential,Northeast,24,3,75.64
CUSTOMER_0458,residential,Northeast,24,2,71.6
CUSTOMER_0459,residential,South,17,1,76.18
CUSTOMER_0460,residential,South,45,2,95.36
CUSTOMER_0461,residential,Southeast,45,3,86.36
CUSTOMER_0462,residential,Northeast,45,4,107.11
CUSTOMER_0463,commercial,North,77,3,101.67
CUSTOMER_0464,residential,Northeast,77,1,60.09
CUSTOMER_0465,commercial,Northeast,24,2,90.78
CUSTOMER_0466,residential,Midwest,24,1,85.17
CUSTOMER_0467,residential,Midwest,45,2,62.13
CUSTOMER_0468,commercial,Southeast,24,3,61.27
CUSTOMER_0469,residential,Southeast,45,1,97.19
CUSTOMER_0470,commercial,Northeast,45,4,126.86
CUSTOMER_0471,residential,Midwest,45,1,86.11
CUSTOMER_0472,commercial,Northeast,52,2,78.38
CUSTOMER_0473,residential,North,52,2,89.85
CUSTOMER_0474,commercial,Midwest,17,2,77.11
CUSTOMER_0475,residential,North,45,3,67.26
CUSTOMER_0476,commercial,Midwest,45,4,123.78
CUSTOMER_0477,residential,Northeast,24,2,96.61
CUSTOMER_0478,residential,Midwest,17,3,76.53
CUSTOMER_0479,commercial,Midwest,45,2,63.46
CUSTOMER_0480,residential,Northeast,24,2,100.49
CUSTOMER_0481,residential,Southeast,24,3,93.41
CUSTOMER_0482,commercial,Northeast,45,2,55.36
CUSTOMER_0483,residential,Midwest,45,3,103.8
CUSTOMER_0484,residential,Midwest,24,3,88.18
CUSTOMER_0485,residential,Midwest,17,2,60.73
CUSTOMER_0486,commercial,South,52,2,64.68
CUSTOMER_0487,residential,Northeast,17,1,88.06
CUSTOMER_0488,residential,Midwest,77,4,146.6
CUSTOMER_0489,commercial,Midwest,45,2,64.77
CUSTOMER_0490,commercial,South,24,1,65.7
CUSTOMER_0491,residential,Northeast,24,2,68.27
CUSTOMER_0492,residential,Midwest,17,3,83.21
CUSTOMER_0493,residential,Midwest,24,3,61.32
CUSTOMER_0494,residential,Northeast,17,1,57.85
CUSTOMER_0495,residential,Midwest,45,2,87.36
CUSTOMER_0496,residential,Northeast,24,1,92.51
CUSTOMER_0497,residential,Midwest,45,2,78.22
CUSTOMER_0498,residential,Southeast,45,2,71.18
CUSTOMER_0499,commercial,Midwest,24,3,74.69
CUSTOMER_0500,commercial,Midwest,17,1,72.44
CUSTOMER_0501,commercial,Midwest,17,3,101.8
CUSTOMER_0502,residential,North,17,3,91.94
CUSTOMER_0503,residential,Northeast,45,3,63.19
CUSTOMER_0504,commercial,Midwest,24,1,72.23
CUSTOMER_0505,commercial,Northeast,45,2,80.44
CUSTOMER_0506,residential,Northeast,45,2,83.98
CUSTOMER_0507,commercial,Midwest,45,1,76.54
CUSTOMER_0508,commercial,Northeast,45,2,94.1
CUSTOMER_0509,commercial,Northeast,45,1,91.92
CUSTOMER_0510,commercial,Midwest,24,1,78.44
CUSTOMER_0511,residential,North,17,2,96.37
CUSTOMER_0512,residential,South,45,4,145.03
CUSTOMER_0513,commercial,Southeast,24,3,92.48
CUSTOMER_0514,commercial,Midwest,45,1,101.61
CUSTOMER_0515,residential,North,45,1,66.18
CUSTOMER_0516,residential,Midwest,45,4,118.53
CUSTOMER_0517,residential,Southeast,45,1,98.15
CUSTOMER_0518,commercial,Midwest,45,1,92.15
CUSTOMER_0519,commercial,North,45,2,100.08
CUSTOMER_0520,residential,Midwest,45,2,55.74
CUSTOMER_0521,residential,Southeast,45,4,138.27
CUSTOMER_0522,residential,Midwest,45,1,59.93
